a	a!
vas's'oih	v a! s' o j h
vas's'oih	v a! s' s' o j h
vas's'oin	v a! s' o j n
vas's'oin	v a! s' s' o j n
vas's'ois	v a! s' o j s
vas's'ois	v a! s' s' o j s
vas's'oispäi	v a! s' o j s p' ae j
vas's'oispäi	v a! s' s' o j s p' ae j
vasilii	v a s' i! l' i:
vasiljev	v a! s' i l j e v
vasiljevič	v a! s' i l j e v' i ch
vasiljevna	v a! s' i l j e v n a
vaskittuloih	v a! s k' i t u l o j h
vaskittuloih	v a! s k' i t t u l o j h
vaslei	v a! s l' e j
vaslein	v a! s l' e j n
vassa	v a! s a
vassa	v a! s s a
vassanke	v a! s a n k' e
vassanke	v a! s s a n k' e
vastah	v a! s t a h
vastahgo	v a! s t a h g o
vastahužin	v a! s t a h u zh i^ n
vastai	v a! s t a j
vastaimmo	v a! s t a j m o
vastaimmo	v a! s t a j m m o
vastaitto	v a! s t a j t o
vastaitto	v a! s t a j t t o
vastakkah	v a! s t a k a h
vastakkah	v a! s t a k k a h
vastakkai	v a! s t a k a j
vastakkai	v a! s t a k k a j
vastal	v a! s t a l
vastalpäi	v a! s t a l p' ae j
vastan	v a! s t a n
vastas	v a! s t a s
vastaspäi	v a! s t a s p' ae j
vastat	v a! s t a t
vastata	v a! s t a t a
vastavuin	v a! s t a v u j n
vastavummo	v a! s t a v u m o
vastavummo	v a! s t a v u m m o
vastavutto	v a! s t a v u t o
vastavutto	v a! s t a v u t t o
vaste	v a! s t' e
vastelypsettyy	v a! s t' e l' y p s' e t' y:
vastelypsettyy	v a! s t' e l' y p s' e t' t' y:
vastepai	v a! s t' e p a j
vastesuadu	v a! s t' e s u a d u
vastevai	v a! s t' e v a j
vastoi	v a! s t o j
vastoin	v a! s t o j n
vastua	v a! s t u a
vastukarvah	v a! s t u k a r v a h
vastukavaine	v a! s t u k a v a j n' e
vastunalaine	v a! s t u n a l a j n' e
vastuolline	v a! s t u o l' i n' e
vastuolline	v a! s t u o l' l' i n' e
vasturandu	v a! s t u r a n d u
vastus	v a! s t u s
vastustajakse	v a! s t u s t a j a k s' e
vastustua	v a! s t u s t u a
vastutuuleh	v a! s t u t u: l' e h
vatanen	v a! t a n' e n
vatažen	v a! t a zh e n
vatuldua	v a! t u l d u a
vauhtie	v a! u h t' i e
vauhtii	v a! u h t' i:
vazale	v a! z a l' e
vazaštu	v a! z a sh t u
vazažet	v a! z a zh e t
vazažii	v a! z a zh i^:
vazikot	v a! z' i k o t
vačal	v a! ch a l
vačalleh	v a! ch a l' e h
vačalleh	v a! ch a l' l' e h
vačas	v a! ch a s
vačat	v a! ch a t
vaččah	v a! ch a h
vaččah	v a! ch ch a h
vačču	v a! ch u
vačču	v a! ch ch u
važojärven	v a! zh o j ae r v' e n
ved	v' e! d
ved'	v' e! d'
vedaijan	v' e! d a j a n
vedeh	v' e! d' e h
vedehizen	v' e! d' e h' i z' e n
vedeli	v' e! d' e l' i
vedelin	v' e! d' e l' i n
vedellä	v' e! d' e l' ae
vedellä	v' e! d' e l' l' ae
vedenskoin	v' e! d' e n s k o j n
vedessäh	v' e! d' e s' ae h
vedessäh	v' e! d' e s' s' ae h
vedi	v' e! d' i
vediä	v' e! d' i ae
vedoit	v' e! d o j t
vedäi	v' e! d' ae j
vedäjen	v' e! d' ae j e n
vedäjänny	v' e! d' ae j ae n' y
vedäjänny	v' e! d' ae j ae n' n' y
vedämäh	v' e! d' ae m' ae h
vedänyh	v' e! d' ae n' y h
vedäy	v' e! d' ae y
vehkehet	v' e! h k' e h' e t
vehkehii	v' e! h k' e h' i:
vei	v' e! j
veikki	v' e! j k' i
veikki	v' e! j k' k' i
veikoi	v' e! j k o j
veile	v' e! j l' e
vein	v' e! j n
veit	v' e! j t
veičel	v' e! j ch e l
veičči	v' e! j ch i
veičči	v' e! j ch ch i
vel'l'en	v' e! l' e n
vel'l'en	v' e! l' l' e n
vellas	v' e! l a s
vellas	v' e! l l a s
vellat	v' e! l a t
vellat	v' e! l l a t
velleh	v' e! l' e h
velleh	v' e! l' l' e h
vellekset	v' e! l' e k s' e t
vellekset	v' e! l' l' e k s' e t
velleksien	v' e! l' e k s' i e n
velleksien	v' e! l' l' e k s' i e n
vellenke	v' e! l' e n k' e
vellenke	v' e! l' l' e n k' e
vellesty	v' e! l' e s t' y
vellesty	v' e! l' l' e s t' y
vellestö	v' e! l' e s t' oe
vellestö	v' e! l' l' e s t' oe
vellet	v' e! l' e t
vellet	v' e! l' l' e t
velli	v' e! l' i
velli	v' e! l' l' i
vellien	v' e! l' i e n
vellien	v' e! l' l' i e n
vellii	v' e! l' i:
vellii	v' e! l' l' i:
velospietal	v' e! l o s p' i e t a l
velospiettaine	v' e! l o s p' i e t a j n' e
velospiettaine	v' e! l o s p' i e t t a j n' e
ven'a	v' e! n' a
ven'akse	v' e! n' a k s' e
ven'aksi	v' e! n' a k s' i
ven'al	v' e! n' a l
ven'alaine	v' e! n' a l a j n' e
ven'alazii	v' e! n' a l a z' i:
ven'alažet	v' e! n' a l a zh e t
ven'ale	v' e! n' a l' e
ven'alpäi	v' e! n' a l p' ae j
ven'an	v' e! n' a n
ven'anhäi	v' e! n' a n h' ae j
ven'ankieline	v' e! n' a n k' i e l' i n' e
ven'ankielisty	v' e! n' a n k' i e l' i s t' y
ven'as	v' e! n' a s
ven'ua	v' e! n' u a
veneh	v' e! n' e h
venehel	v' e! n' e h' e l
venehen	v' e! n' e h' e n
venehes	v' e! n' e h' e s
venehet	v' e! n' e h' e t
venehettäh	v' e! n' e h' e t' ae h
venehettäh	v' e! n' e h' e t' t' ae h
venehty	v' e! n' e h t' y
venähtih	v' e! n' ae h t' i h
venäkse	v' e! n' ae k s' e
venälaine	v' e! n' ae l a j n' e
venälažetgi	v' e! n' ae l a zh e t g' i
venčah	v' e! n ch a h
venčas	v' e! n ch a s
venčia	v' e! n ch i a
venčoi	v' e! n ch o j
venčua	v' e! n ch u a
vera	v' e! r a
verale	v' e! r a l' e
verandu	v' e! r a n d u
verdailemah	v' e! r d a j l' e m a h
verdailla	v' e! r d a j l a
verdailla	v' e! r d a j l l a
verdu	v' e! r d u
verhn'oil	v' e! r h n' o j l
verhovjas	v' e! r h o v j a s
verhovjaspäi	v' e! r h o v j a s p' ae j
veriäh	v' e! r' i ae h
veriäl	v' e! r' i ae l
veriälöi	v' e! r' i ae l' oe j
veriän	v' e! r' i ae n
veriäs	v' e! r' i ae s
veriät	v' e! r' i ae t
verkoloi	v' e! r k o l o j
verkot	v' e! r k o t
verkožet	v' e! r k o zh e t
vern'oile	v' e! r n' o j l' e
vern'oilessah	v' e! r n' o j l' e s a h
vern'oilessah	v' e! r n' o j l' e s s a h
verran	v' e! r a n
verran	v' e! r r a n
verrata	v' e! r a t a
verrata	v' e! r r a t a
verraten	v' e! r a t' e n
verraten	v' e! r r a t' e n
verujuščoit	v' e! r u j u sh ch o j t
vessel	v' e! s' e l
vessel	v' e! s' s' e l
vesseläh	v' e! s' e l' ae h
vesseläh	v' e! s' s' e l' ae h
vesseläs	v' e! s' e l' ae s
vesseläs	v' e! s' s' e l' ae s
vesselät	v' e! s' e l' ae t
vesselät	v' e! s' s' e l' ae t
vestettih	v' e! s t' e t' i h
vestettih	v' e! s t' e t' t' i h
vesti	v' e! s t' i
vestimmo	v' e! s t' i m o
vestimmo	v' e! s t' i m m o
vestittö	v' e! s t' i t' oe
vestittö	v' e! s t' i t' t' oe
vestiä	v' e! s t' i ae
vestän	v' e! s t' ae n
vet	v' e! t
vet'eran	v' e! t' e r a n
veteruanale	v' e! t' e r u a n a l' e
vetty	v' e! t' y
vetty	v' e! t' t' y
vezi	v' e! z' i
vezienke	v' e! z' i e n k' e
vezigi	v' e! z' i g' i
vezii	v' e! z' i:
vezile	v' e! z' i l' e
vezin	v' e! z' i n
vezirungah	v' e! z' i r u n g a h
vezisyväimes	v' e! z' i s' y v' ae j m' e s
večeslav	v' e! ch e s l a v
vešit	v' e! sh i^ t
videl	v' i! d' e l
videl'ču	v' i! d' e l' ch u
videleh	v' i! d' e l' e h
videlen	v' i! d' e l' e n
videles	v' i! d' e l' e s
videlčygo	v' i! d' e l ch y g o
vidimo	v' i! d' i m a
vie	v' i! e
viedih	v' i! e d' i h
viegi	v' i! e g' i
viego	v' i! e g o
viehkurit	v' i! e h k u r' i t
viehäi	v' i! e h' ae j
viekkiä	v' i! e k' i ae
viekkiä	v' i! e k' k' i ae
viel	v' i! e l
vieldänyh	v' i! e l d' ae n' y h
viele	v' i! e l' e
vieljärven	v' i! e l j ae r v' e n
vieljärves	v' i! e l j ae r v' e s
vien	v' i! e n
vienan	v' i! e n a n
vierahale	v' i! e r a h a l' e
vierahat	v' i! e r a h a t
vieraitettih	v' i! e r a j t' e t' i h
vieraitettih	v' i! e r a j t' e t' t' i h
vierastannuh	v' i! e r a s t a n u h
vierastannuh	v' i! e r a s t a n n u h
vieravuttih	v' i! e r a v u t' i h
vieravuttih	v' i! e r a v u t' t' i h
viere	v' i! e r' e
vieri	v' i! e r' i
vieriimmö	v' i! e r' i: m' oe
vieriimmö	v' i! e r' i: m' m' oe
vierijän	v' i! e r' i j ae n
vierittelehes	v' i! e r' i t' e l' e h' e s
vierittelehes	v' i! e r' i t' t' e l' e h' e s
vierkiä	v' i! e r k' i ae
vierut	v' i! e r u t
vieröy	v' i! e r' oe y
vies	v' i! e s
viestittäh	v' i! e s t' i t' ae h
viestittäh	v' i! e s t' i t' t' ae h
vietettih	v' i! e t' e t' i h
vietettih	v' i! e t' e t' t' i h
vietti	v' i! e t' i
vietti	v' i! e t' t' i
viettih	v' i! e t' i h
viettih	v' i! e t' t' i h
vietty	v' i! e t' y
vietty	v' i! e t' t' y
vietä	v' i! e t' ae
vietäh	v' i! e t' ae h
viga	v' i! g a
vigelöitti	v' i! g' e l' oe j t' i
vigelöitti	v' i! g' e l' oe j t' t' i
viglai	v' i! g l a j
viglattih	v' i! g l a t' i h
viglattih	v' i! g l a t' t' i h
viha	v' i! h a
vihan	v' i! h a n
vihaniekan	v' i! h a n' i e k a n
vihanvallas	v' i! h a n v a l a s
vihanvallas	v' i! h a n v a l l a s
vihas	v' i! h a s
vihažniekoin	v' i! h a zh n' i e k o j n
viheldi	v' i! h' e l d' i
viheldys	v' i! h' e l d' y s
viheldäjen	v' i! h' e l d' ae j e n
viheldän	v' i! h' e l d' ae n
vihjattih	v' i! h j a t' i h
vihjattih	v' i! h j a t' t' i h
vihkittih	v' i! h k' i t' i h
vihkittih	v' i! h k' i t' t' i h
vihkoloi	v' i! h k o l o j
vihlät	v' i! h l' ae t
vihman	v' i! h m a n
vihmu	v' i! h m u
vihmua	v' i! h m u a
vihmui	v' i! h m u j
vihmuplaššiloil	v' i! h m u p l a sh i^ l o j l
vihmuplaššiloil	v' i! h m u p l a sh sh i^ l o j l
vihodnoidu	v' i! h o d n o j d u
vihua	v' i! h u a
viidi	v' i:! d' i
viidinut	v' i:! d' i n u t
viijel	v' i:! j e l
viijen	v' i:! j e n
viijenden	v' i:! j e n d' e n
viijentostu	v' i:! j e n t o s t u
viijes	v' i:! j e s
viijestostu	v' i:! j e s t o s t u
viijetty	v' i:! j e t' y
viijetty	v' i:! j e t' t' y
viiležäs	v' i:! l' e zh ae s
viimeine	v' i:! m' e j n' e
viimeizil	v' i:! m' e j z' i l
viinah	v' i:! n a h
viinal	v' i:! n a l
viinat	v' i:! n a t
viinu	v' i:! n u
viinua	v' i:! n u a
viipišitah	v' i:! p' i sh i^ t a h
viirukoijen	v' i:! r u k o j e n
viizahuol	v' i:! z a h u o l
viizas	v' i:! z a s
viizi	v' i:! z' i
viizikymen	v' i:! z' i k' y m' e n
viizikymmenkuuzi	v' i:! z' i k' y m' e n k u: z' i
viizikymmenkuuzi	v' i:! z' i k' y m' m' e n k u: z' i
viizipäivällizen	v' i:! z' i p' ae j v' ae l' i z' e n
viizipäivällizen	v' i:! z' i p' ae j v' ae l' l' i z' e n
viizivuodehine	v' i:! z' i v u o d' e h' i n' e
viizkymmen	v' i:! z k' y m' e n
viizkymmen	v' i:! z k' y m' m' e n
viiž	v' i:! zh
viižele	v' i:! zh e l' e
viiži	v' i:! zh i^
viižikymen	v' i:! zh i^ k' y m' e n
viižin	v' i:! zh i^ n
viižisadua	v' i:! zh i^ s a d u a
viižitostu	v' i:! zh i^ t o s t u
viiživuodiine	v' i:! zh i^ v u o d' i: n' e
viižkymen	v' i:! zh k' y m' e n
viižkymmen	v' i:! zh k' y m' e n
viižkymmen	v' i:! zh k' y m' m' e n
vikeldyimmö	v' i! k' e l d' y j m' oe
vikeldyimmö	v' i! k' e l d' y j m' m' oe
vikse	v' i! k s' e
viktor	v' i! k t o r
viktorovna	v' i! k t o r o v n a
vil'l'aa	v' i! l' a:
vil'l'aa	v' i! l' l' a:
vil'l'at	v' i! l' a t
vil'l'at	v' i! l' l' a t
vil'l'oi	v' i! l' o j
vil'l'oi	v' i! l' l' o j
vil'l'oin	v' i! l' o j n
vil'l'oin	v' i! l' l' o j n
vil'l'u	v' i! l' u
vil'l'u	v' i! l' l' u
vil'l'ua	v' i! l' u a
vil'l'ua	v' i! l' l' u a
vilahteli	v' i! l a h t' e l' i
villal	v' i! l a l
villal	v' i! l l a l
villalan	v' i! l a l a n
villalan	v' i! l l a l a n
villathäi	v' i! l a t h' ae j
villathäi	v' i! l l a t h' ae j
villazet	v' i! l a z' e t
villazet	v' i! l l a z' e t
vilu	v' i! l u
vilulois	v' i! l u l o j s
vilustunnuot	v' i! l u s t u n u o t
vilustunnuot	v' i! l u s t u n n u o t
vilut	v' i! l u t
viluttau	v' i! l u t a u
viluttau	v' i! l u t t a u
viluu	v' i! l u:
viluverelline	v' i! l u v' e r' e l' i n' e
viluverelline	v' i! l u v' e r' e l' l' i n' e
vimsuttajen	v' i! m s u t a j e n
vimsuttajen	v' i! m s u t t a j e n
vinahiekan	v' i! n a h' i e k a n
vingahtih	v' i! n g a h t' i h
vintofkoin	v' i! n t o f k o j n
virdu	v' i! r d u
virgi	v' i! r g' i
virguniekku	v' i! r g u n' i e k u
virguniekku	v' i! r g u n' i e k k u
viriey	v' i! r' i e y
virii	v' i! r' i:
virinnyh	v' i! r' i n' y h
virinnyh	v' i! r' i n' n' y h
viritetty	v' i! r' i t' e t' y
viritetty	v' i! r' i t' e t' t' y
viritysty	v' i! r' i t' y s t' y
virka	v' i! r k a
virki	v' i! r k' i
virkua	v' i! r k u a
virren	v' i! r' e n
virren	v' i! r' r' e n
virret	v' i! r' e t
virret	v' i! r' r' e t
virstua	v' i! r s t u a
virtyttiä	v' i! r t' y t' i ae
virtyttiä	v' i! r t' y t' t' i ae
virui	v' i! r u j
virujua	v' i! r u j u a
viruo	v' i! r u o
virutah	v' i! r u t a h
viruttih	v' i! r u t' i h
viruttih	v' i! r u t' t' i h
viruu	v' i! r u:
viručaiče	v' i! r u ch a j ch e
virčistellen	v' i! r ch i s t' e l' e n
virčistellen	v' i! r ch i s t' e l' l' e n
viršakko	v' i! r sh a k o
viršakko	v' i! r sh a k k o
virših	v' i! r sh i^ h
viršiloi	v' i! r sh i^ l o j
viršilöih	v' i! r sh i^ l' oe j h
viršinpohjazii	v' i! r sh i^ n p o h j a z' i:
viršisty	v' i! r sh i^ s t' y
viršizet	v' i! r sh i^ z' e t
vistavkal	v' i! s t a v k a l
vistupaičimmo	v' i! s t u p a j ch i m o
vistupaičimmo	v' i! s t u p a j ch i m m o
visšoin	v' i! s sh o j n
vital'a	v' i! t a l' a
viuhkahtih	v' i! u h k a h t' i h
viuhkutan	v' i! u h k u t a n
vivesku	v' i! v' e s k u
vivkahtimmos	v' i! v k a h t' i m o s
vivkahtimmos	v' i! v k a h t' i m m o s
vizahti	v' i! z a h t' i
viäry	v' i! ae r' y
viärykorvu	v' i! ae r' y k o r v u
viäryksii	v' i! ae r' y k s' i:
viäryksis	v' i! ae r' y k s' i s
viärättömanny	v' i! ae r' ae t' oe m a n' y
viärättömanny	v' i! ae r' ae t' t' oe m a n' y
viärättömanny	v' i! ae r' ae t' oe m a n' n' y
viärättömanny	v' i! ae r' ae t' t' oe m a n' n' y
viäräččy	v' i! ae r' ae ch y
viäräččy	v' i! ae r' ae ch ch y
viäräččyy	v' i! ae r' ae ch y:
viäräččyy	v' i! ae r' ae ch ch y:
vičan	v' i! ch a n
vičikköh	v' i! ch i k' oe h
vičikköh	v' i! ch i k' k' oe h
viškattuh	v' i! sh k a t u h
viškattuh	v' i! sh k a t t u h
vkuussu	v k u:! s u
vkuussu	v k u:! s s u
vladimir	v l a d' i! m' i r
vlasovan	v l a! s o v a n
vlasti	v l a! s t' i
vluasovan	v l u! a s o v a n
vluasti	v l u! a s t' i
vodlojärvel	v o! d l o j ae r v' e l
voi	v o! j
voibi	v o! j b' i
voibunuon	v o! j b u n u o n
voidaš	v o! j d a sh
voidu	v o! j d u
voihkehet	v o! j h k' e h' e t
voijah	v o! j a h
voimattomakse	v o! j m a t o m a k s' e
voimattomakse	v o! j m a t t o m a k s' e
voimatustu	v o! j m a t u s t u
voimmo	v o! j m o
voimmo	v o! j m m o
voimua	v o! j m u a
voin	v o! j n
voinaa	v o! j n a:
voinah	v o! j n a h
voinal	v o! j n a l
voinale	v o! j n a l' e
voinalpäi	v o! j n a l p' ae j
voinan	v o! j n a n
voinanaigazis	v o! j n a n a j g a z' i s
voinas	v o! j n a s
voinat	v o! j n a t
voindu	v o! j n d u
voini	v o! j n' i
voinii	v o! j n' i:
voinl	v o! j n l
voinnen	v o! j n' e n
voinnen	v o! j n' n' e n
voinnou	v o! j n o u
voinnou	v o! j n n o u
voinnuh	v o! j n u h
voinnuh	v o! j n n u h
voinnus	v o! j n u s
voinnus	v o! j n n u s
voinnuzimmo	v o! j n u z' i m o
voinnuzimmo	v o! j n n u z' i m o
voinnuzimmo	v o! j n u z' i m m o
voinnuzimmo	v o! j n n u z' i m m o
voinnuzin	v o! j n u z' i n
voinnuzin	v o! j n n u z' i n
voinu	v o! j n u
voinua	v o! j n u a
voinuh	v o! j n u h
voinus	v o! j n u s
voinuvehkehien	v o! j n u v' e h k' e h' i e n
voinuveteruanu	v o! j n u v' e t' e r u a n u
voinuvuozis	v o! j n u v u o z' i s
vois	v o! j s
voiskat	v o! j s k a t
voit	v o! j t
voitgo	v o! j t g o
voiton	v o! j t o n
voitonpäiviä	v o! j t o n p' ae j v' i ae
voitonpäivy	v o! j t o n p' ae j v' y
voitto	v o! j t o
voitto	v o! j t t o
voivaslambi	v o! j v a s l a m b' i
voivaslambih	v o! j v a s l a m b' i h
voizimmo	v o! j z' i m o
voizimmo	v o! j z' i m m o
voizin	v o! j z' i n
voiš	v o! j sh
vojennii	v o! j e n' i:
vojennii	v o! j e n' n' i:
vojennoi	v o! j e n o j
vojennoi	v o! j e n n o j
vojennois	v o! j e n o j s
vojennois	v o! j e n n o j s
vojuija	v o! j u j a
vojuittih	v o! j u j t' i h
vojuittih	v o! j u j t' t' i h
vojuiččijua	v o! j u j ch i j u a
vojuiččijua	v o! j u j ch ch i j u a
voleibolah	v o! l' e j b o l a h
volga	v o! l g a
volkov	v o! l k o v
volkovah	v o! l k o v a h
vologdan	v o! l o g d a n
vongah	v o! n g a h
vongas	v o! n g a s
vongu	v o! n g u
voot	v o:! t
vorotois	v o! r o t o j s
vos'mois	v o! s' m o j s
vosemnadtsat'	v a s' i m n a! ts a t'
vostokkah	v o! s t o k a h
vostokkah	v o! s t o k k a h
vot	v o! t
voulostih	v o! u l o s t' i h
voznesenskoih	v o! z n' e s' e n s k o j h
vračua	v r a! ch u a
vručči	v r u! ch i
vručči	v r u! ch ch i
vs'o	v s' o!
vspomnii	v s p o! m n' i:
vstretittih	v s t r' e! t' i t' i h
vstretittih	v s t r' e! t' i t' t' i h
vstrečaittih	v s t r' e! ch a j t' i h
vstrečaittih	v s t r' e! ch a j t' t' i h
vtoroi	v t a r o! j
vtoroil	v t o! r o j l
vuadimus	v u! a d' i m u s
vuahti	v u! a h t' i
vuaksan	v u! a k s a n
vualuh	v u! a l u h
vualun	v u! a l u n
vuardua	v u! a r d u a
vuidi	v u! j d' i
vuidii	v u! j d' i:
vuidiu	v u! j d' i u
vunukat	v u! n u k a t
vunukkaine	v u! n u k a j n' e
vunukkaine	v u! n u k k a j n' e
vunukkaštu	v u! n u k a sh t u
vunukkaštu	v u! n u k k a sh t u
vunukkua	v u! n u k u a
vunukkua	v u! n u k k u a
vunukoile	v u! n u k o j l' e
vuodehižennu	v u! o d' e h' i zh e n u
vuodehižennu	v u! o d' e h' i zh e n n u
vuoditto	v u! o d' i t o
vuoditto	v u! o d' i t t o
vuoh	v u! o h
vuol	v u! o l
vuon	v u! o n
vuonnu	v u! o n u
vuonnu	v u! o n n u
vuoro	v u! o r o
vuoroh	v u! o r o h
vuorokkai	v u! o r o k a j
vuorokkai	v u! o r o k k a j
vuorotellen	v u! o r o t' e l' e n
vuorotellen	v u! o r o t' e l' l' e n
vuorusjärvi	v u! o r u s j ae r v' i
vuota	v u! o t a
vuotamata	v u! o t a m a t a
vuotammo	v u! o t a m o
vuotammo	v u! o t a m m o
vuotan	v u! o t a n
vuotas	v u! o t a s
vuotetah	v u! o t' e t a h
vuotettu	v u! o t' e t u
vuotettu	v u! o t' e t t u
vuotiimokseh	v u! o t' i: m o k s' e h
vuotimmo	v u! o t' i m o
vuotimmo	v u! o t' i m m o
vuottamatoi	v u! o t a m a t o j
vuottamatoi	v u! o t t a m a t o j
vuottamattah	v u! o t a m a t a h
vuottamattah	v u! o t t a m a t a h
vuottamattah	v u! o t a m a t t a h
vuottamattah	v u! o t t a m a t t a h
vuottau	v u! o t a u
vuottau	v u! o t t a u
vuottazimmo	v u! o t a z' i m o
vuottazimmo	v u! o t t a z' i m o
vuottazimmo	v u! o t a z' i m m o
vuottazimmo	v u! o t t a z' i m m o
vuottelkua	v u! o t' e l k u a
vuottelkua	v u! o t' t' e l k u a
vuotti	v u! o t' i
vuotti	v u! o t' t' i
vuottu	v u! o t u
vuottu	v u! o t t u
vuottua	v u! o t u a
vuottua	v u! o t t u a
vuozi	v u! o z' i
vuozien	v u! o z' i e n
vuozih	v u! o z' i h
vuozii	v u! o z' i:
vuozil	v u! o z' i l
vuoziluvul	v u! o z' i l u v u l
vuozinnu	v u! o z' i n u
vuozinnu	v u! o z' i n n u
vuozipäivy	v u! o z' i p' ae j v' y
vuozis	v u! o z' i s
vuvvekse	v u! v' e k s' e
vuvvekse	v u! v' v' e k s' e
vuvvel	v u! v' e l
vuvvel	v u! v' v' e l
vuvvelgi	v u! v' e l g' i
vuvvelgi	v u! v' v' e l g' i
vuvven	v u! v' e n
vuvven	v u! v' v' e n
vuvvennu	v u! v' e n u
vuvvennu	v u! v' v' e n u
vuvvennu	v u! v' e n n u
vuvvennu	v u! v' v' e n n u
vuvves	v u! v' e s
vuvves	v u! v' v' e s
vuvvespäi	v u! v' e s p' ae j
vuvvespäi	v u! v' v' e s p' ae j
vuvvessah	v u! v' e s a h
vuvvessah	v u! v' v' e s a h
vuvvessah	v u! v' e s s a h
vuvvessah	v u! v' v' e s s a h
vuvvet	v u! v' e t
vuvvet	v u! v' v' e t
vveden'n'a	v' e! d' e n' a
vveden'n'a	v' v' e! d' e n' a
vveden'n'a	v' e! d' e n' n' a
vveden'n'a	v' v' e! d' e n' n' a
vyöl	v' y! oe l
vägehes	v' ae! g' e h' e s
vägehesti	v' ae! g' e h' e s t' i
vägei	v' ae! g' e j
vägevil	v' ae! g' e v' i l
vägi	v' ae! g' i
vägie	v' ae! g' i e
vägienke	v' ae! g' i e n k' e
vägitukku	v' ae! g' i t u k u
vägitukku	v' ae! g' i t u k k u
vägitukun	v' ae! g' i t u k u n
vähazen	v' ae! h a z' e n
vähem	v' ae! h' e m
vähembi	v' ae! h' e m b' i
väheni	v' ae! h' e n' i
vähitellen	v' ae! h' i t' e l' e n
vähitellen	v' ae! h' i t' e l' l' e n
vähä	v' ae! h' ae
vähäine	v' ae! h' ae j n' e
vähäsanazet	v' ae! h' ae s a n a z' e t
vähästy	v' ae! h' ae s t' y
vähättävy	v' ae! h' ae t' ae v' y
vähättävy	v' ae! h' ae t' t' ae v' y
vähättävän	v' ae! h' ae t' ae v' ae n
vähättävän	v' ae! h' ae t' t' ae v' ae n
vähävägizil	v' ae! h' ae v' ae g' i z' i l
vähäzel	v' ae! h' ae z' e l
vähäzin	v' ae! h' ae z' i n
vähäšty	v' ae! h' ae sh t' y
vähäžel	v' ae! h' ae zh e l
vähäžin	v' ae! h' ae zh i^ n
väil	v' ae! j l
väile	v' ae! j l' e
väinpanii	v' ae! j n p a n' i:
väinämöinen	v' ae! j n' ae m' oe j n' e n
väis	v' ae! j s
väit	v' ae! j t
väittömäs	v' ae! j t' oe m' ae s
väittömäs	v' ae! j t' t' oe m' ae s
väizizen	v' ae! j z' i z' e n
välii	v' ae! l' i:
välil	v' ae! l' i l
vällii	v' ae! l' i:
vällii	v' ae! l' l' i:
vällilline	v' ae! l' i l' i n' e
vällilline	v' ae! l' l' i l' i n' e
vällilline	v' ae! l' i l' l' i n' e
vällilline	v' ae! l' l' i l' l' i n' e
välläh	v' ae! l' ae h
välläh	v' ae! l' l' ae h
välläl	v' ae! l' ae l
välläl	v' ae! l' l' ae l
välttämättäh	v' ae! l t' ae m' ae t' ae h
välttämättäh	v' ae! l t' t' ae m' ae t' ae h
välttämättäh	v' ae! l t' ae m' ae t' t' ae h
välttämättäh	v' ae! l t' t' ae m' ae t' t' ae h
välttämätä	v' ae! l t' ae m' ae t' ae
välttämätä	v' ae! l t' t' ae m' ae t' ae
vältähdih	v' ae! l t' ae h d' i h
vältämättäh	v' ae! l t' ae m' ae t' ae h
vältämättäh	v' ae! l t' ae m' ae t' t' ae h
vältämätöi	v' ae! l t' ae m' ae t' oe j
välähdyksiä	v' ae! l' ae h d' y k s' i ae
väritti	v' ae! r' i t' i
väritti	v' ae! r' i t' t' i
vävvy	v' ae! v' y
vävvy	v' ae! v' v' y
vävvynke	v' ae! v' y n k' e
vävvynke	v' ae! v' v' y n k' e
väzyin	v' ae! z' y j n
väzynyh	v' ae! z' y n' y h
väzynyön	v' ae! z' y n' y oe n
väzynyöt	v' ae! z' y n' y oe t
väzynyžile	v' ae! z' y n' y zh i^ l' e
väzyttih	v' ae! z' y t' i h
väzyttih	v' ae! z' y t' t' i h
väzyttäi	v' ae! z' y t' ae j
väzyttäi	v' ae! z' y t' t' ae j
väčkämättäh	v' ae! ch k' ae m' ae t' ae h
väčkämättäh	v' ae! ch k' ae m' ae t' t' ae h
vönytteli	v' oe! n' y t' e l' i
vönytteli	v' oe! n' y t' t' e l' i
y	y!
yheksadua	y! h' e k s a d u a
yheksasadua	y! h' e k s a s a d u a
yhekssadua	y! h' e k s a d u a
yhekssadua	y! h' e k s s a d u a
yheksä	y! h' e k s' ae
yheksäkymen	y! h' e k s' ae k' y m' e n
yheksäkymmen	y! h' e k s' ae k' y m' e n
yheksäkymmen	y! h' e k s' ae k' y m' m' e n
yheksäkymmenyksi	y! h' e k s' ae k' y m' e n' y k s' i
yheksäkymmenyksi	y! h' e k s' ae k' y m' m' e n' y k s' i
yheksän	y! h' e k s' ae n
yheksäsadua	y! h' e k s' ae s a d u a
yheksässäh	y! h' e k s' ae s' ae h
yheksässäh	y! h' e k s' ae s' s' ae h
yheksätostu	y! h' e k s' ae t o s t u
yhekäsadua	y! h' e k' ae s a d u a
yhteh	y! h t' e h
yhtehine	y! h t' e h' i n' e
yhtehtoštussah	y! h t' e h t o sh t u s a h
yhtehtoštussah	y! h t' e h t o sh t u s s a h
yhteiskunnale	y! h t' e j s k u n a l' e
yhteiskunnale	y! h t' e j s k u n n a l' e
yhteiskunnalliine	y! h t' e j s k u n a l' i: n' e
